customer_id,customer_name,email,shipping_address
1,Blake Lynch,maurice55@hotmail.com,"1340 Bass Rapid Suite 516, Richardborough, UT 00713"
2,Ebony Stewart,jennifer96@yahoo.com,"912 Owens Alley Suite 360, North Taraside, WI 73226"
3,Katherine Jensen,johnsonthomas@yahoo.com,"Unit 6502 Box 5189, DPO AE 18967"
4,Gregory Wolf,smithshari@hernandez.com,"018 Fuentes Court, East John, MA 20296"
5,Nicole Edwards,hmccarty@fuller.org,"302 Yoder Brooks Apt. 807, Hoodberg, SD 24252"
6,Shirley White,butlermichael@hotmail.com,"9016 Anthony Station Apt. 120, Loriport, LA 84917"
7,Scott Garcia,gibsonlucas@miller.org,"36010 Rachel Passage Suite 961, Port Larrymouth, VA 71050"
8,Karen Lopez,zgriffith@cain.com,"7200 Mills Courts Apt. 651, Bellchester, MD 89209"
9,Heather Cox,jweaver@yahoo.com,"99293 Taylor Burg Apt. 362, Coxtown, SC 13488"
10,Marc Howard,zacharyperez@jackson.info,"48972 Jonathan Islands, Justinchester, AR 46724"
11,Gina Barker,lisahernandez@stevens-ramirez.com,"23213 Jennifer Skyway Suite 328, Lake Kayla, WV 11087"
12,Joshua Jones,coxjoshua@jordan.com,"9283 Erickson Stravenue Apt. 385, Thompsonport, LA 56112"
13,Katherine Hood,margaretmiller@parsons.com,"3169 Porter Forges, West Waltertown, KS 16504"
14,Yvette Dyer,ujohnson@gmail.com,"8268 Richardson Rapid, Port Kaylastad, MI 81035"
15,Nicole Irwin,cohenian@raymond-ortega.com,"60873 Michelle Greens, Jennytown, IN 54068"
16,Veronica Torres,yroberson@rodriguez.com,"6660 Wanda Branch Suite 773, Matthewberg, MT 64720"
17,Martin Rogers,sarahli@yahoo.com,"1157 Martin Alley Apt. 208, Randystad, NM 54277"
18,John Ramirez,ericvelazquez@bean.com,"25435 Eugene Ridge, Lake Teresaborough, GA 58248"
19,Dakota Esparza,laura78@hotmail.com,"14339 Teresa Mews Suite 545, Patelshire, WY 31502"
20,Bonnie Griffith,jeffreymay@gmail.com,"18743 Patricia Garden, Steeleton, AL 84977"
21,Eugene Wiggins,fmcpherson@frazier-johnson.biz,"847 Lawson Gateway Apt. 995, Mendezbury, IL 11591"
22,Julie King,erinsherman@ford.net,"87284 Copeland Squares Suite 075, Lisaborough, OH 50022"
23,Phillip Ortiz,sethhall@fleming.org,"837 Juan Club, East Nicole, NH 39276"
24,Craig Lewis,gregory29@singleton.com,"10727 Sanchez Alley, South Christopher, WV 77704"
25,Laurie Williams,nicholasbenitez@yahoo.com,"75264 Elizabeth Turnpike, Amandaville, SD 87722"
26,Jessica Avery,lynncruz@yahoo.com,"8162 Neal Loaf, New Michealberg, NE 32259"
27,Joseph Diaz,ufisher@hotmail.com,"1744 Alexander Pine, East Lisa, TN 29459"
28,Keith Perry,schmidtdaniel@gmail.com,"6025 Brown View, Anthonyville, OH 68942"
29,Shawn Barnes,johnhenderson@stokes-gordon.com,"4129 Montoya Street, Adamside, DE 97371"
30,Randall Wood DDS,pmaldonado@gmail.com,"033 Wallace Knoll Apt. 498, Port Kevinchester, DE 64076"
31,Nicole Taylor,jacobhenderson@hotmail.com,"14213 Christopher Street, Pamelashire, MS 58290"
32,Sabrina Brandt,daniel59@bates.net,"1789 Harrington Roads Apt. 362, Brittanyland, NV 95687"
33,Roberta Knapp,hfranco@murillo.com,"6578 Jacqueline Rue Suite 306, East Gregoryburgh, KS 23618"
34,Donna Ortiz,hickmanandrew@martin-cooper.com,"6948 Emily Field, Johnfurt, OR 03709"
35,Heidi Thomas,rodney30@gmail.com,"32396 Austin Roads, New Jeffreymouth, ID 64612"
36,Stacie Brooks,tbarber@baker.com,"13444 Brown Square Suite 469, West Catherine, SC 62342"
37,Jennifer Moyer,burtoncurtis@hotmail.com,"48862 Donald Orchard, Carrollview, NJ 54826"
38,Kimberly Marsh,lopezevan@walters.com,"878 David Overpass, Lake Lisa, WV 70777"
39,Ricky Black,edwardallen@hotmail.com,"564 Brittany Mews Suite 755, Lake Tinabury, HI 24187"
